participant;q01_formal_structure;q02_lessons_learned;q03_solution_source;q04_knowledge_base;q05_expert_finder;q06_project_knowledge;q07_hidden_knowledge_exists;q08_knowledge_utilization;q09_hidden_knowledge_value;q10_fear_of_sharing;q11_share_with_colleagues;q12_share_with_management;q13_personality_similarity;q14_extrovert_self_assessment;q15_prior_personality_test;q16_personality_test_willingness;q17_profile_use_consent;q18_ai_helpfulness;q19_ai_internal_channel_analysis;q20_ai_public_profile_analysis;q21_ai_work_content_analysis;q22_gender;q23_age_group;q24_organization_size;q25_tenure;q26_education;q27_decision_level
170;To some level;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources;We don't have such a system;We don't have such a system;We don't have such a system;Yes;Less than 25%;Medium;Mostly No;Yes;With certain compensation Yes;It doesn't matter to me;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;More than 60;100-500;More than 10 years;High;Low
171;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;Yes;Yes;Yes;25% to 50%;Very large;No;Yes;Yes;It doesn't matter to me;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;30-40;More than 500;1-5 years;Upper;Low
172;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Yes;No;No;Yes;25% to 50%;Large;No;Yes;With certain compensation Yes;Yes;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;No;No;Yes;Male;20-30;100-500;Less than 1 year;High;Low
173;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet;Periodically;We don't have such a system;We don't have such a system;Yes;Completely unutilized;Very low;No;Yes;Yes;It doesn't matter to me;No;Yes;Yes;With certain conditions Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;More than 500;5-10 years;High;High
174;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;Yes;Yes;No;50% to 75%;Large;Mostly No;Yes;Yes;Yes;Yes;Yes;Yes;With certain conditions Yes;Yes;No;No;No;Male;20-30;More than 500;1-5 years;Upper;Low
175;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system;Yes;Yes;Yes;Yes;More than 75%;Very large;Mostly No;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;No;Up to a certain level Yes;Female;40-50;Less than 100;1-5 years;High;High
176;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Periodically;Periodically;Periodically;Yes;50% to 75%;Large;Mostly Yes;Yes;Yes;It doesn't matter to me;No;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;More than 500;5-10 years;Middle;Low
177;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;No;No;Yes;25% to 50%;Low;Mostly No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;40-50;More than 500;1-5 years;Middle;Medium
178;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.);Periodically;No;Yes;No;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;Yes;Up to a certain level Yes;No;Up to a certain level Yes;Female;40-50;More than 500;More than 10 years;Upper;Low
179;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Other publicly available knowledge sources;Yes;Yes;Yes;Yes;Less than 25%;Medium;Mostly Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Up to a certain level Yes;Up to a certain level Yes;Female;40-50;More than 500;More than 10 years;High;High
180;To some level;No;Official internal collaboration channels (email, slack, teams, etc.), Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources, Other;We don't have such a system;No;No;Yes;25% to 50%;Large;Mostly No;Yes;Yes;It doesn't matter to me;Yes;Yes;Yes;With certain conditions Yes;Yes;No;No;Up to a certain level Yes;Male;20-30;Less than 100;1-5 years;High;High
181;No;No;Publicly available sources on the Internet;Periodically;No;No;Yes;Less than 25%;Large;No;Yes;Yes;Yes;No;No;Yes;No;Yes;Yes;Yes;Yes;Male;40-50;More than 500;1-5 years;Upper;Low
182;No;No;Official internal collaboration channels (email, slack, teams, etc.);No;We don't have such a system;We don't have such a system;No;Completely unutilized;Very low;No;Yes;Yes;It doesn't matter to me;No;No;Yes;Yes;Yes;Yes;Yes;Yes;Male;More than 60;Less than 100;More than 10 years;Middle;High
183;Yes;Yes;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet;Periodically;Yes;Yes;Yes;50% to 75%;Large;Mostly No;Yes;With certain compensation Yes;It doesn't matter to me;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Male;20-30;100-500;Less than 1 year;High;Medium
184;Yes;Periodically;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Other publicly available knowledge sources;Yes;No;Periodically;Yes;25% to 50%;Medium;Mostly No;Yes;Yes;Yes;No;Yes;Yes;With certain conditions Yes;Yes;Up to a certain level Yes;No;Up to a certain level Yes;Female;40-50;More than 500;5-10 years;Upper;Medium
185;To some level;Periodically;Internal knowledge base system;Yes;We don't have such a system;Periodically;No;More than 75%;Large;No;With certain compensation Yes;With certain compensation Yes;Yes;Yes;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Up to a certain level Yes;Female;40-50;Less than 100;More than 10 years;High;High
186;No;No;Official internal collaboration channels (email, slack, teams, etc.), Internal knowledge base system, Publicly available sources on the Internet, Public social networks, Other publicly available knowledge sources;Periodically;No;No;Yes;Less than 25%;Very large;Mostly Yes;Yes;Yes;Yes;No;Yes;With certain conditions Yes;With certain conditions Yes;Up to a certain level Yes;Up to a certain level Yes;Yes;Up to a certain level Yes;Male;30-40;Less than 100;Less than 1 year;High;Medium
187;Yes;No;Internal knowledge base system;Periodically;No;No;Yes;25% to 50%;Large;Mostly Yes;Yes;Yes;Yes;No;No;No;No;Yes;Up to a certain level Yes;No;Yes;Male;40-50;Less than 100;More than 10 years;High;Medium
